classe_risco,n_municipios,n_observacoes,desmat_medio,desmat_mediano,producao_media,producao_mediana,area_media,produtividade_media
Baixo,1945,10083,677.7942774967768,292.4,123519.58911038381,41196,30173.438064068232,4.434172053780375
Medio,2630,10388,499.7087793608009,231.10000000000002,5479.200519830574,1921,1970.4543704274163,3.1963172813348635
Alto,2448,10083,510.361142517108,269.7,339.72904889417833,114,352.34682138252504,1.6391764267638753
