id_municipio,sigla_uf,ano,desmatamento_ha,producao_total_ton,area_colhida_ha,produtividade,classe_risco,risco_desmat_ton
1507300,PA,2021,20450.4,50196,11178,4.4906065485775635,Medio,0.4074028328386159
5007109,MS,2021,14071.2,93223,30055,3.101746797537847,Medio,0.15093967218741955
1100205,RO,2021,11512.8,109288,31405,3.479955421111288,Medio,0.1053427151863408
1500602,PA,2021,11280.5,103740,27650,3.751898734177215,Medio,0.1087371434630474
5106307,MT,2021,9315.6,1222740,326000,3.7507361963190182,Baixo,0.007618620787231311
1504208,PA,2021,8848,27908,8085,3.4518243661100803,Medio,0.31703034863305746
1505502,PA,2021,8819.5,618613,195100,3.170748334187596,Baixo,0.014256871005182553
1505064,PA,2021,8602.9,120,100,1.2,Alto,71.09834710743802
5008305,MS,2021,8358.300000000001,689,302,2.281456953642384,Alto,12.113478260869567
2928901,BA,2021,8308.3,2053273,447495,4.588370819785696,Baixo,0.004046366924239044
5105101,MT,2021,8303.5,272460,83100,3.2787003610108303,Baixo,0.03047592132451984
5003207,MS,2021,7915,25666,5579,4.600466033339308,Medio,0.3083726185374216
2911105,BA,2021,7620.2,2129996,486496,4.378239492205486,Baixo,0.003577563724268156
1502764,PA,2021,7524.1,56378,23232,2.4267389807162534,Medio,0.13345571932811864
1506708,PA,2021,7489.0999999999995,378060,164500,2.298237082066869,Baixo,0.019809237133690063
1505031,PA,2021,7278.4,88800,26000,3.4153846153846152,Medio,0.081963040956745975
1506583,PA,2021,7007.4000000000005,286600,91792,3.1222764511068504,Baixo,0.024450019364901033
5107925,MT,2021,6914,5109560,1146900,4.455105065829628,Baixo,0.0013531495171502993
1505486,PA,2021,6747.3,5205,1860,2.7983870967741935,Alto,1.2960622358816751
5218805,GO,2021,6746.5,3949725,752575,5.248280902235658,Baixo,0.0017080931689945076
5101902,MT,2021,6702.1,1535239,365434,4.201138919750215,Baixo,0.004365506370339491
5002704,MS,2021,6585.8,520800,154000,3.381818181818182,Baixo,0.012645521033945787
1503606,PA,2021,6453,707,470,1.504255319148936,Alto,9.114406779661017
5006903,MS,2021,6393.9,27300,9800,2.7857142857142856,Medio,0.23420021244643052
5106240,MT,2021,6238.299999999999,2971605,689927,4.307129594870182,Baixo,0.0020993025320315004
5000203,MS,2021,6181.4,10674,3327,3.2082957619477006,Alto,0.5790538641686183
1302405,AM,2021,5959.9,312,132,2.3636363636363638,Alto,19.041214057507986
5102504,MT,2021,5785.7,39779,10145,3.921044849679645,Medio,0.14544243338360985
5107859,MT,2021,5731.200000000001,1384788,331908,4.172204345782566,Baixo,0.004138681055381001
5211909,GO,2021,5719.8,2351020,510000,4.609843137254902,Baixo,0.002432900429217774
1506187,PA,2021,5663.7,155799,49877,3.1236642139663573,Medio,0.03635237483953787
5103254,MT,2021,5646,10819,3215,3.3651632970451013,Alto,0.52181146025878
5106224,MT,2021,5590.299999999999,2850960,685000,4.161985401459854,Baixo,0.001960847587883524
3136306,MG,2021,5526.9,42034,11004,3.8198836786623045,Medio,0.13148328773641013
5001102,MS,2021,5424.8,150,50,3,Alto,35.92582781456954
5107065,MT,2021,5398.9000000000005,2670054,609500,4.380728465955701,Baixo,0.0020220182730318293
5104609,MT,2021,5352.3,1134000,272000,4.169117647058823,Baixo,0.004719837107727418
5214838,GO,2021,5330.8,80100,22500,3.56,Medio,0.06655097938852199
2100055,MA,2021,5319.3,264185,70515,3.746507835212366,Baixo,0.020134677840612295
2909307,BA,2021,5226.9000000000005,1097815,237370,4.6249104773138985,Baixo,0.0047611803799543825
5107875,MT,2021,5131.8,2309800,538479,4.289489469412921,Baixo,0.0022217498390553992
5102702,MT,2021,5098.8,1643000,400000,4.1075,Baixo,0.003103345646168201
5100250,MT,2021,5036.1,161256,43765,3.6845881412087285,Baixo,0.0312302721742312
5103502,MT,2021,5034.5,2781459,656456,4.237083673544,Baixo,0.0018100206366440646
5007406,MS,2021,5024.4,88950,24900,3.572289156626506,Medio,0.05648503108452968
1503705,PA,2021,5023.6,8414,3675,2.2895238095238097,Alto,0.5969815805109924
5213103,GO,2021,4939.1,900000,195000,4.615384615384615,Baixo,0.005487882791241344
5007554,MS,2021,4938.5999999999995,5163,1774,2.9103720405862457,Alto,0.9563516653756776
5204409,GO,2021,4929,320600,72000,4.4527777777777775,Baixo,0.015374250236274997
3147006,MG,2021,4876.5,570144,151000,3.775788079470199,Baixo,0.008553087372510502
